1;43595;5;19;5;505;34;10;12;6;108;1
2;43502;2;6;3;302;11;6;21;34;69;1
3;43476;1;2;5;501;6;11;16;37;112;1
4;43665;7;29;5;507;48;19;19;47;115;1
5;43620;6;23;2;206;38;4;18;14;42;2
6;43693;8;33;5;508;55;16;11;13;107;1
7;43479;1;3;1;101;2;14;20;36;20;2
8;43769;10;44;4;410;68;31;17;31;89;2
9;43473;1;2;2;201;3;8;18;17;42;1
10;43657;7;28;4;407;47;11;18;5;90;1
11;43605;5;21;1;105;30;20;20;16;20;2
12;43609;5;21;5;505;34;24;16;1;112;2
13;43757;10;42;6;610;70;19;6;43;126;2
14;43730;9;38;7;709;64;22;21;3;165;1
15;43664;7;29;4;407;47;18;6;44;78;1
16;43668;7;30;1;107;44;22;17;32;17;2
17;43597;5;19;7;705;36;12;11;22;155;1
18;43821;12;51;7;712;85;22;19;4;163;1
19;43822;12;52;1;112;79;23;9;58;9;2
20;43646;6;26;7;706;43;30;12;59;156;1
21;43765;10;43;7;710;71;27;16;44;160;1
22;43478;1;2;7;701;8;13;19;55;163;1
23;43702;8;34;7;708;57;25;18;41;162;1
24;43704;8;35;2;208;52;27;18;32;42;2
25;43758;10;42;7;710;71;20;19;49;163;1
26;43694;8;33;6;608;56;17;1;16;121;2
27;43483;1;3;5;501;6;18;12;31;108;1
28;43708;8;35;6;608;56;31;11;32;131;1
29;43485;1;3;7;701;8;20;14;5;158;1
30;43722;9;37;6;609;63;14;9;56;129;2
31;43702;8;34;7;708;57;25;13;34;157;1
32;43517;2;8;4;402;12;21;20;18;92;1
33;43497;2;5;5;502;13;1;21;35;117;1
34;43744;10;40;7;710;71;6;22;22;166;1
35;43764;10;43;6;610;70;26;13;8;133;1
36;43743;10;40;6;610;70;5;20;14;140;1
37;43600;5;20;3;305;32;15;9;12;57;2
38;43477;1;2;6;601;7;12;1;34;121;2
39;43551;3;13;3;303;18;27;6;35;54;2
40;43538;3;11;4;403;19;14;7;27;79;1
41;43699;8;34;4;408;54;22;19;59;91;1
42;43822;12;52;1;112;79;23;20;46;20;2
43;43743;10;40;6;610;70;5;14;35;134;2
44;43478;1;2;7;701;8;13;13;26;157;1
45;43715;9;36;6;609;63;7;20;55;140;1
46;43626;6;24;1;106;37;10;24;44;24;2
47;43679;8;31;5;508;55;2;23;54;119;2
48;43730;9;38;7;709;64;22;14;49;158;2
49;43592;5;19;2;205;31;7;20;24;44;2
50;43720;9;37;4;409;61;12;23;58;95;2
